space,0,0.0
space,0.003839,644.754364367
space,0.007679,2821.62711819
space,0.011518,5248.39415261
space,0.015357,5649.37858514
space,0.019196,4200.23986964
space,0.023035,2416.29297718
space,0.026874,847.080825577
space,0.030713,-581.540139169
space,0.034552,-1808.6526263
space,0.038391,-2673.0743313
space,0.04223,-3126.87638659
space,0.046069,-3244.57244272
space,0.049908,-3129.36832879
space,0.053747,-2844.7941231
space,0.057586,-2417.4674745
space,0.061425,-1885.07937864
space,0.065264,-1327.55086419
space,0.069103,-830.983222315
space,0.072942,-427.722667355
space,0.076781,-112.791925642
space,0.08062,112.653603836
space,0.084459,259.797655252
space,0.088298,358.641028586
space,0.092137,420.658685422
space,0.095976,438.562920255
space,0.099815,421.140829133
space,0.103654,393.746412608
space,0.107493,345.493919698
space,0.111332,241.141847469
space,0.115171,108.914429973
space,0.11901,8.57730731409
space,0.122849,-56.4777188539
space,0.126688,-104.566461039
space,0.130528,-126.510869216
space,0.134367,-119.04985869
space,0.138206,-98.3356730938
space,0.142045,-67.2309385972
space,0.145884,-33.2596510826
space,0.149723,-24.0114779657
space,0.153562,-34.2401804002
space,0.157401,-31.0748659874
space,0.16124,-14.3803041768
space,0.165079,-2.41981843801
space,0.168918,-0.801920893934
space,0.172757,-10.0106281525
space,0.176596,-8.72333888107
space,0.180435,29.5046548898
space,0.184274,75.2126934084
space,0.188113,81.1652207382
space,0.191952,54.1097738981
space,0.195791,26.6483207615
space,0.19963,10.753359943
space,0.203469,-0.605122911441
space,0.207308,-19.3669808073
space,0.211147,-49.2031524517
space,0.214986,-68.9295053469
space,0.218825,-50.2604654597
space,0.222664,-2.02214587728
space,0.226503,34.6239788786
space,0.230342,41.7581974664
space,0.234181,41.037522956
space,0.23802,48.2024928697
space,0.241859,61.2728558727
space,0.245698,74.2277353773
space,0.249537,69.6955787771
space,0.253377,37.9537222493
space,0.257216,-7.26651302374
space,0.261055,-51.9922247831
space,0.264894,-91.2416110625
space,0.268733,-103.713128599
space,0.272572,-70.3789668508
space,0.276411,-21.0202163209
space,0.28025,3.2057631441
space,0.284089,4.08535206659
space,0.287928,4.31487006086
space,0.291767,3.45796744881
space,0.295606,-10.3993982075
space,0.299445,-27.4513431844
space,0.303284,-32.0632633452
space,0.307123,-26.4080754511
space,0.310962,-20.5853894484
space,0.314801,-18.5630543561
space,0.31864,-18.1003165363
space,0.322479,-5.6326123861
space,0.326318,27.0859504986
space,0.330157,54.3298164878
space,0.333996,54.4865378638
space,0.337835,42.6835562152
space,0.341674,37.1742834203
space,0.345513,42.1113980698
space,0.349352,55.4089451856
space,0.353191,56.3885573981
space,0.35703,19.6844650893
space,0.360869,-33.6577696035
space,0.364708,-59.6496302241
space,0.368547,-47.5071307722
space,0.372386,-6.6846262726
space,0.376225,42.0496713421
space,0.380065,66.1388312071
space,0.383904,56.0758657053
space,0.387743,-615.394875675
